10000001,"ASSY,AIRCRAFT WIRELESS",
20000001,"IND,830UH,AIRCRAFT WIRELESS",
20000002,"PCB,AIRCRAFT WIRELESS",
20000003,"PCA,AIRCRAFT WIRELESS",
50000001,"DOC,USER,AIRCRAFT WIRELESS",
90000001,"WIRE,MAGNET,38AWG,POLY",
90000002,"MAG,FERRITE ROD,1/4IN X 4IN,MATL=61",
90000003,"TAPE,ELECTRICAL,3/4"",BLUE,VINYL",
90000004,"CONN,PHONE,F,MONO,PCB,3.5MM",
90000005,"CAPV,150-230PF,TOP ADJUST,PCB",
90000006,"DIO,SIG,GERM,0A95,AXIAL,D0-7,GLASS",
90000007,"CAP,ELEC,10UF,16V,20%,RADIAL,ROHS",
90000008,"CAP,CER,33PF,100V,10%,RADIAL,ROHS",
90000009,"CAP,CER,3300PF,100V,10%,RADIAL,ROHS",
90000010,"RES,AXIAL,2.0M,0.4W,1%,MF,ROHS",
90000011,"RES,AXIAL,5.6M,0.4W,1%,MF,ROHS",
90000012,"EARPH,MONO,HI-Z,3.5MM",
90000013,"WIRE,SOLID,18AWG,WHITE,POLY",
PNPartNumber,PNTitle,PNDetail
