10000001,"ASSY,AIRCRAFT WIRELESS",
10000002,"ENCL,AIRCRAFT WIRELESS",
10000003,"ASSY,MKTG,AIRCRAFT WIRELESS",
20000001,"IND,830UH,AIRCRAFT WIRELESS",
20000002,"PCB,AIRCRAFT WIRELESS",
20000003,"PCA,AIRCRAFT WIRELESS",
50000001,"DOC,USER,AIRCRAFT WIRELESS",
80000001,"BOX,IP54,4.74X3.13X2.17"",ALUM,BLK,SCREWS",
80000002,"STANDOFF,HEX,4-40,0.75""L,NYLON",
80000003,"SCREW,MACHINE,PHIL,4-40X1/4,SS",
80000004,"WASHER,FLAT,4-40",
80000005,"BOX,SHIPPING,5X4X2,CARDBOARD,WHITE",
80000007,"WASHER,LOCK,#4,INTERNAL TOOTH",
90000001,"WIRE,MAGNET,38AWG,POLY",
90000002,"MAG,FERRITE ROD,1/4IN X 4IN,MATL=61",
90000003,"TAPE,ELECTRICAL,3/4"",BLUE,VINYL",
90000004,"CONN,PHONE,F,MONO,PCB,3.5MM",
90000005,"CAPV,150-230PF,TOP ADJUST,PCB",
90000006,"DIO,SIG,GERM,0A95,AXIAL,D0-7,GLASS",
90000007,"CAP,ELEC,10UF,16V,20%,RADIAL,ROHS",
90000008,"CAP,CER,33PF,100V,10%,RADIAL,ROHS",
90000009,"CAP,CER,3300PF,100V,10%,RADIAL,ROHS",
90000010,"RES,AXIAL,2.0M,0.4W,1%,MF,ROHS",
90000011,"RES,AXIAL,5.6M,0.4W,1%,MF,ROHS",
90000012,"EARPH,MONO,HI-Z,3.5MM",
90000013,"WIRE,SOLID,18AWG,WHITE,POLY",
90000014,"CONN,BINDING POST BANANA,INSUL,GRN",
90000015,"CONN,BINDING POST BANANA,INSUL,YEL",
90000016,"CONN,RING,16-22AWG,#4,RED",
90000017,"WIRE,STRANDED,16AWG,GREEN,POLY",
90000018,"WIRE,STRANDED,16AWG,YELLOW,POLY",
PNPartNumber,PNTitle,PNDetail
